standard_diff,"1,500-2,999 ft","3,000-5,999 ft","< 1,500 ft"
-14490.0,0.0,0.0,1.0
-14100.0,0.0,0.0,1.0
-14070.0,0.0,0.0,1.0
-13740.0,0.0,0.0,1.0
-13560.0,0.0,0.0,1.0
-13230.0,0.0,0.0,1.0
-13170.0,0.0,0.0,1.0
-13080.0,0.0,0.0,1.0
-12990.0,0.0,0.0,2.0
-12810.0,0.0,0.0,1.0
-12420.0,0.0,0.0,1.0
-12390.0,0.0,0.0,1.0
-12360.0,0.0,0.0,1.0
-12090.0,0.0,0.0,1.0
-12060.0,0.0,0.0,3.0
-12000.0,0.0,0.0,2.0
-11820.0,0.0,0.0,1.0
-11790.0,0.0,0.0,1.0
-11760.0,0.0,0.0,1.0
-11550.0,0.0,0.0,1.0
-11460.0,0.0,0.0,2.0
-11400.0,0.0,0.0,1.0
-11250.0,0.0,0.0,1.0
-11190.0,0.0,0.0,1.0
-11100.0,0.0,0.0,1.0
-11070.0,0.0,0.0,1.0
-11040.0,0.0,0.0,2.0
-10980.0,0.0,0.0,3.0
-10950.0,0.0,0.0,1.0
-10920.0,0.0,0.0,2.0
-10860.0,0.0,0.0,2.0
-10830.0,0.0,0.0,2.0
-10800.0,0.0,0.0,3.0
-10770.0,0.0,0.0,3.0
-10740.0,0.0,0.0,1.0
-10710.0,0.0,0.0,3.0
-10680.0,0.0,0.0,4.0
-10650.0,0.0,0.0,5.0
-10620.0,0.0,0.0,3.0
-10590.0,0.0,0.0,5.0
-10560.0,0.0,0.0,7.0
-10530.0,0.0,0.0,7.0
-10500.0,0.0,0.0,5.0
-10440.0,0.0,0.0,4.0
-10410.0,0.0,0.0,5.0
-10380.0,0.0,0.0,5.0
-10350.0,0.0,0.0,3.0
-10320.0,0.0,0.0,6.0
-10290.0,0.0,0.0,4.0
-10260.0,0.0,0.0,5.0
-10230.0,0.0,0.0,5.0
-10200.0,0.0,0.0,5.0
-10170.0,0.0,0.0,6.0
-10140.0,0.0,0.0,5.0
-10110.0,0.0,0.0,13.0
-10080.0,0.0,0.0,8.0
-10050.0,0.0,0.0,7.0
-10020.0,0.0,0.0,2.0
-9990.0,0.0,0.0,4.0
-9960.0,0.0,0.0,4.0
-9930.0,0.0,0.0,8.0
-9900.0,0.0,0.0,5.0
-9870.0,0.0,0.0,9.0
-9840.0,0.0,0.0,10.0
-9810.0,0.0,0.0,7.0
-9780.0,0.0,0.0,4.0
-9750.0,0.0,0.0,9.0
-9720.0,0.0,0.0,7.0
-9690.0,0.0,0.0,7.0
-9660.0,0.0,0.0,6.0
-9630.0,0.0,0.0,10.0
-9600.0,0.0,0.0,6.0
-9570.0,0.0,0.0,8.0
-9540.0,0.0,0.0,10.0
-9510.0,0.0,0.0,18.0
-9480.0,0.0,0.0,10.0
-9450.0,0.0,0.0,10.0
-9420.0,0.0,0.0,13.0
-9390.0,0.0,0.0,9.0
-9360.0,0.0,0.0,16.0
-9330.0,0.0,0.0,9.0
-9300.0,0.0,0.0,11.0
-9270.0,0.0,0.0,11.0
-9240.0,0.0,0.0,14.0
-9210.0,0.0,0.0,11.0
-9180.0,0.0,0.0,7.0
-9150.0,0.0,0.0,13.0
-9120.0,0.0,0.0,10.0
-9090.0,0.0,0.0,13.0
-9060.0,0.0,0.0,19.0
-9030.0,0.0,0.0,15.0
-9000.0,0.0,0.0,12.0
-8970.0,0.0,0.0,26.0
-8940.0,0.0,0.0,15.0
-8910.0,0.0,0.0,24.0
-8880.0,0.0,0.0,20.0
-8850.0,0.0,0.0,28.0
-8820.0,0.0,0.0,24.0
-8790.0,0.0,0.0,18.0
-8760.0,0.0,0.0,13.0
-8730.0,0.0,0.0,23.0
-8700.0,0.0,0.0,33.0
-8670.0,0.0,0.0,17.0
-8640.0,0.0,0.0,23.0
-8610.0,0.0,0.0,27.0
-8580.0,0.0,0.0,23.0
-8550.0,0.0,0.0,25.0
-8520.0,0.0,0.0,23.0
-8490.0,0.0,0.0,27.0
-8460.0,0.0,0.0,22.0
-8430.0,0.0,0.0,27.0
-8400.0,0.0,0.0,29.0
-8370.0,0.0,0.0,29.0
-8340.0,0.0,0.0,30.0
-8310.0,0.0,0.0,34.0
-8280.0,0.0,0.0,21.0
-8250.0,0.0,0.0,31.0
-8220.0,0.0,0.0,26.0
-8190.0,0.0,0.0,33.0
-8160.0,0.0,0.0,28.0
-8130.0,0.0,0.0,33.0
-8100.0,0.0,0.0,38.0
-8070.0,0.0,0.0,38.0
-8040.0,0.0,0.0,25.0
-8010.0,0.0,0.0,37.0
-7980.0,0.0,0.0,30.0
-7950.0,0.0,0.0,39.0
-7920.0,0.0,0.0,19.0
-7890.0,0.0,0.0,29.0
-7860.0,0.0,0.0,36.0
-7830.0,0.0,0.0,35.0
-7800.0,0.0,0.0,30.0
-7770.0,0.0,0.0,42.0
-7740.0,0.0,0.0,26.0
-7710.0,1.0,0.0,33.0
-7680.0,0.0,0.0,39.0
-7650.0,0.0,0.0,41.0
-7620.0,0.0,0.0,32.0
-7590.0,0.0,1.0,33.0
-7560.0,0.0,0.0,32.0
-7530.0,1.0,0.0,42.0
-7500.0,0.0,0.0,44.0
-7470.0,0.0,0.0,32.0
-7440.0,0.0,1.0,53.0
-7410.0,0.0,0.0,45.0
-7380.0,0.0,0.0,52.0
-7350.0,0.0,0.0,40.0
-7320.0,0.0,0.0,57.0
-7290.0,0.0,0.0,50.0
-7260.0,0.0,0.0,42.0
-7230.0,0.0,0.0,47.0
-7200.0,0.0,0.0,41.0
-7170.0,0.0,0.0,44.0
-7140.0,0.0,0.0,37.0
-7110.0,0.0,0.0,54.0
