Date,Boston Marathon Year,BQ %,Boston Acceptance %,Ran Boston %,Downhill BQ %,Downhill Acceptance %,Name,Diff.
2024-04-06,2025,40.17191977077364,26.876790830945556,17.535816618911173,20.974212034383953,0.10601719197707736,Revel Mt. Charleston Marathon,-19.197707736389685
2023-12-17,2025,53.77358490566038,42.45283018867924,25.471698113207548,34.90566037735849,0.29245283018867924,Hawaii Bird Conservation Marathon,-18.867924528301888
2023-04-01,2024,35.85271317829458,24.741602067183464,14.470284237726098,17.31266149870801,0.11304909560723514,Revel Mt. Charleston Marathon,-18.54005167958657
2022-09-10,2023,26.673228346456696,26.673228346456696,16.92913385826772,9.448818897637794,0.09448818897637795,Revel Big Cottonwood Marathon,-17.2244094488189
2022-09-10,2024,26.673228346456696,16.043307086614174,5.118110236220472,9.448818897637794,0.0531496062992126,Revel Big Cottonwood Marathon,-17.2244094488189
2021-11-13,2023,37.2564302416212,37.2564302416212,21.590023382696806,20.34294621979735,0.2034294621979735,Revel Big Bear Marathon,-16.91348402182385
2023-11-18,2025,39.61248654467169,29.117330462863293,16.89989235737352,23.03552206673843,0.14101184068891282,Revel Big Bear Marathon,-16.57696447793326
2022-04-02,2023,30.88145896656535,30.88145896656535,18.72340425531915,15.19756838905775,0.1519756838905775,Revel Mt. Charleston Marathon,-15.6838905775076
2022-11-12,2024,38.14496314496314,29.484029484029485,16.216216216216218,22.542997542997544,0.1590909090909091,Revel Big Bear Marathon,-15.601965601965603
2023-06-11,2024,39.233817701453106,22.457067371202115,13.606340819022458,23.778071334214,0.14927344782034346,Light at the End of the Tunnel Marathon,-15.455746367239104
2022-09-18,2024,32.5,18.125,11.875,19.375,0.115625,Tunnel Light Marathon,-13.125
2023-09-10,2025,33.78378378378378,16.516516516516518,6.306306306306306,20.72072072072072,0.10510510510510511,Tunnel Light Marathon,-13.063063063063062
2023-09-10,2024,33.78378378378378,19.66966966966967,14.264264264264265,20.72072072072072,0.11711711711711711,Tunnel Light Marathon,-13.063063063063062
2023-09-09,2024,20.8641975308642,13.086419753086421,7.654320987654321,8.395061728395062,0.047530864197530866,Revel Big Cottonwood Marathon,-12.469135802469136
2023-09-09,2025,20.8641975308642,11.790123456790123,3.45679012345679,8.395061728395062,0.040740740740740744,Revel Big Cottonwood Marathon,-12.469135802469136
2021-12-19,2023,39.62264150943396,39.62264150943396,16.9811320754717,28.30188679245283,0.2830188679245283,Hawaii Bird Conservation Marathon,-11.320754716981135
2022-12-18,2024,38.88888888888889,35.55555555555556,16.666666666666664,27.77777777777778,0.23333333333333334,Hawaii Bird Conservation Marathon,-11.11111111111111
2023-08-13,2024,27.254901960784313,16.274509803921568,11.176470588235295,16.666666666666664,0.09607843137254903,Tunnel Vision Marathon,-10.588235294117645
2024-09-08,2025,33.57400722021661,20.697954271961493,12.876052948255115,23.225030084235858,0.12033694344163658,Tunnel Light Marathon,-10.348977135980746
2022-08-14,2023,36.93931398416886,36.93931398416886,24.80211081794195,26.912928759894463,0.2691292875989446,Tunnel Vision Marathon,-10.026385224274403
2024-09-08,2025,37.83783783783784,25.675675675675674,10.81081081081081,28.37837837837838,0.17567567567567569,Sundance to Spearfish Marathon,-9.459459459459463
2022-06-12,2023,38.84615384615385,38.84615384615385,28.076923076923077,29.423076923076923,0.29423076923076924,Light at the End of the Tunnel Marathon,-9.423076923076923
2024-09-07,2025,20.12987012987013,14.285714285714285,6.8181818181818175,10.714285714285714,0.045454545454545456,Runtastic Nebo Marathon,-9.415584415584417
2023-09-10,2025,36.04651162790697,20.930232558139537,2.3255813953488373,26.744186046511626,0.13953488372093023,Sundance to Spearfish Marathon,-9.30232558139535
2023-09-10,2024,36.04651162790697,25.581395348837212,10.465116279069768,26.744186046511626,0.16279069767441862,Sundance to Spearfish Marathon,-9.30232558139535
2022-09-11,2023,42.10526315789473,42.10526315789473,22.36842105263158,32.89473684210527,0.32894736842105265,Sundance to Spearfish Marathon,-9.210526315789469
2022-09-11,2024,42.10526315789473,32.89473684210527,11.842105263157894,32.89473684210527,0.25,Sundance to Spearfish Marathon,-9.210526315789469
2024-06-09,2025,39.7887323943662,26.291079812206576,16.901408450704224,31.220657276995308,0.14906103286384975,Light at the End of the Tunnel Marathon,-8.568075117370894
2024-09-07,2025,25.508317929759706,14.417744916820702,9.242144177449168,17.190388170055453,0.07763401109057301,Cascade Express Marathon,-8.317929759704251
2024-08-31,2025,20.618556701030926,11.34020618556701,8.24742268041237,12.371134020618557,0.07216494845360824,East Canyon Marathon,-8.24742268041237
2023-09-16,2025,21.73913043478261,12.077294685990339,4.830917874396135,13.526570048309178,0.09178743961352658,Cascade Express Marathon,-8.212560386473431
2023-07-24,2024,14.583333333333334,9.523809523809524,2.976190476190476,6.845238095238096,0.03869047619047619,Deseret News Marathon,-7.738095238095238
2024-06-22,2025,20.35175879396985,10.804020100502512,5.527638190954774,12.814070351758794,0.06030150753768844,Super Marathon,-7.537688442211055
2024-08-11,2025,34.55882352941176,21.91176470588235,15.294117647058824,27.35294117647059,0.1323529411764706,Tunnel Vision Marathon,-7.205882352941173
2024-05-05,2025,25.516834022445362,16.00708800945068,10.809214412285883,18.84229178972239,0.09864146485528648,Revel White Mountains Marathon*,-6.674542232722974
2023-08-26,2024,11.79245283018868,8.018867924528301,4.245283018867925,5.660377358490567,0.03773584905660377,Runtastic Nebo Marathon,-6.132075471698113
2023-08-20,2024,31.63265306122449,23.46938775510204,15.306122448979592,25.510204081632654,0.20408163265306123,Leading Ladies Marathon,-6.122448979591838
2023-06-17,2024,16.11842105263158,9.210526315789473,5.592105263157895,10.197368421052632,0.05263157894736842,Super Marathon,-5.921052631578948
2024-08-18,2025,24.087591240875913,16.78832116788321,6.569343065693431,18.248175182481752,0.1386861313868613,Leading Ladies Marathon,-5.8394160583941614
2024-01-27,2025,12.903225806451612,6.451612903225806,0.0,7.096774193548387,0.05161290322580645,Sun Marathon,-5.806451612903225
2022-09-07,2023,12.446351931330472,12.446351931330472,6.437768240343347,6.866952789699571,0.06866952789699571,Runtastic Nebo Marathon,-5.579399141630901
2022-09-07,2024,12.446351931330472,8.15450643776824,1.2875536480686696,6.866952789699571,0.03862660944206009,Runtastic Nebo Marathon,-5.579399141630901
2022-08-21,2023,30.76923076923077,30.76923076923077,12.087912087912088,25.274725274725274,0.25274725274725274,Leading Ladies Marathon,-5.494505494505497
2023-11-04,2025,18.085106382978726,7.446808510638298,3.1914893617021276,12.76595744680851,0.05319148936170213,Bears Ears Marathon,-5.319148936170215
2023-09-02,2025,18.994413407821227,12.849162011173185,2.793296089385475,13.966480446927374,0.12290502793296089,Pocatello Marathon,-5.027932960893855
2023-09-02,2024,18.994413407821227,13.40782122905028,2.793296089385475,13.966480446927374,0.12290502793296089,Pocatello Marathon,-5.027932960893855
2022-06-26,2023,16.610169491525422,16.610169491525422,9.830508474576272,11.864406779661017,0.11864406779661017,Super Marathon,-4.745762711864406
2023-06-03,2024,16.850551654964896,11.9358074222668,5.1153460381143425,12.337011033099298,0.08726178535606821,Utah Valley Marathon,-4.513540621865599
2023-12-10,2025,18.925518925518926,13.064713064713066,2.8083028083028085,14.529914529914532,0.11233211233211234,Tucson Marathon,-4.395604395604394
2023-09-02,2024,11.267605633802818,7.042253521126761,2.8169014084507045,7.042253521126761,0.056338028169014086,East Canyon Marathon,-4.225352112676056
2023-09-02,2025,11.267605633802818,7.042253521126761,1.4084507042253522,7.042253521126761,0.056338028169014086,East Canyon Marathon,-4.225352112676056
2022-07-22,2023,10.175438596491228,10.175438596491228,3.1578947368421053,6.315789473684211,0.06315789473684211,Deseret News Marathon,-3.859649122807017
2023-01-28,2024,12.101910828025478,8.280254777070063,2.547770700636943,8.280254777070063,0.044585987261146494,Sun Marathon,-3.8216560509554145
2024-07-24,2025,10.1010101010101,7.828282828282829,2.525252525252525,6.313131313131313,0.03787878787878788,Deseret News Marathon,-3.787878787878787
2022-01-29,2023,10.328638497652582,10.328638497652582,2.3474178403755865,6.572769953051644,0.06572769953051644,Sun Marathon,-3.755868544600939
2024-06-01,2025,15.384615384615385,9.983633387888707,3.1914893617021276,11.702127659574469,0.06873977086743044,Utah Valley Marathon,-3.682487725040917
2024-08-31,2025,23.49397590361446,17.46987951807229,4.819277108433735,19.879518072289155,0.13855421686746988,Pocatello Marathon,-3.6144578313253017
2022-12-10,2024,19.92753623188406,16.485507246376812,4.710144927536232,16.666666666666664,0.13949275362318841,Tucson Marathon,-3.260869565217392
2022-06-04,2023,12.156448202959831,12.156448202959831,4.12262156448203,9.090909090909092,0.09090909090909091,Utah Valley Marathon,-3.06553911205074
2022-09-03,2024,13.432835820895523,8.955223880597014,2.9850746268656714,10.44776119402985,0.07462686567164178,East Canyon Marathon,-2.985074626865672
2022-09-03,2023,13.432835820895523,13.432835820895523,7.462686567164178,10.44776119402985,0.1044776119402985,East Canyon Marathon,-2.985074626865672
2022-09-03,2023,18.666666666666668,18.666666666666668,6.666666666666667,16.0,0.16,Pocatello Marathon,-2.666666666666667
2022-09-03,2024,18.666666666666668,16.0,3.3333333333333335,16.0,0.13333333333333333,Pocatello Marathon,-2.666666666666667
2021-09-04,2023,7.792207792207792,7.792207792207792,0.0,5.194805194805195,0.05194805194805195,East Canyon Marathon,-2.597402597402597
2021-12-04,2023,15.296052631578947,15.296052631578947,5.592105263157895,12.828947368421053,0.12828947368421054,Tucson Marathon,-2.467105263157893
