Name,Slug,Net Downhill (ft),Year Established,Location,Category
Revel Big Cottonwood Marathon,revel-big-cottonwood,5455,2012,"Salt Lake City, UT","3,000-5,999"
Revel Mt. Charleston Marathon,revel-mt-charleston,5278,2016,"Las Vegas, NV","3,000-5,999"
Revel Big Bear Marathon,revel-big-bear,5071,2018,"Big Bear Lake, CA","3,000-5,999"
Runtastic Nebo Marathon,runtastic-nebo,4559,2011,"Payson, UT","3,000-5,999"
Hawaii Bird Conservation Marathon,hawaii-bird-conservation,3674,2017,"Hilo, HI","3,000-5,999"
Deseret News Marathon,deseret-news,3178,1970,"Salt Lake City, UT","3,000-5,999"
Sundance to Spearfish Marathon,sundance-to-spearfish,2972,2016,"Sundance, WY","1,500-2,999"
Bears Ears Marathon,bears-ears,2683,2023,"Blanding, UT","1,500-2,999"
Revel White Mountains Marathon*,revel-white-mountains,2350,2024,"Conway, NH","1,500-2,999"
East Canyon Marathon,east-canyon,2329,2016,"Morgan, UT","1,500-2,999"
Leading Ladies Marathon,leading-ladies,2260,2005,"Spearfish, SD","1,500-2,999"
Jack & Jill's Downhill Marathon (Washington),jack-and-jills-downhill,2037,2011,"North Bend, WA","1,500-2,999"
Light at the End of the Tunnel Marathon,light-at-the-end-of-the-tunnel,1971,2007,"North Bend, WA","1,500-2,999"
Tunnel Light Marathon,tunnel-light,1971,2016,"North Bend, WA","1,500-2,999"
Tunnel Vision Marathon,tunnel-vision,1971,2016,"North Bend, WA","1,500-2,999"
Tucson Marathon,tucson,1719,1969,"Tucson, AZ","1,500-2,999"
Sun Marathon,sun,1660,2018,"Santa Clara, UT","1,500-2,999"
Utah Valley Marathon,utah-valley,1614,2008,"Provo, UT","1,500-2,999"
Super Marathon,super,1577,2011,"Snoqualmie Pass, WA","1,500-2,999"
Cascade Express Marathon,cascade-express,1577,2011,"Snoqualmie Pass, WA","1,500-2,999"
Pocatello Marathon,pocatello,1551,2000,"Pocatello, ID","1,500-2,999"
