Name,Slug,Net Downhill,Year Established,Location
Sundance to Spearfish Marathon,sundance-to-spearfish,"2,972",2016,"Sundance, WY"
Bears Ears Marathon,bears-ears,"2,683",2023,"Blanding, UT"
Revel White Mountains Marathon*,revel-white-mountains,"2,350",2024,"Conway, NH"
East Canyon Marathon,east-canyon,"2,329",2016,"Morgan, UT"
Leading Ladies Marathon,leading-ladies,"2,260",2005,"Spearfish, SD"
Jack & Jill's Downhill Marathon (Washington),jack-and-jills-downhill,"2,037",2011,"North Bend, WA"
Light at the End of the Tunnel Marathon,light-at-the-end-of-the-tunnel,"1,971",2007,"North Bend, WA"
Tunnel Light Marathon,tunnel-light,"1,971",2016,"North Bend, WA"
Tunnel Vision Marathon,tunnel-vision,"1,971",2016,"North Bend, WA"
Revel Big Cottonwood Marathon,revel-big-cottonwood,"5,455",2012,"Salt Lake City, UT"
Revel Mt. Charleston Marathon,revel-mt-charleston,"5,278",2016,"Las Vegas, NV"
Revel Big Bear Marathon,revel-big-bear,"5,071",2018,"Big Bear Lake, CA"
Tucson Marathon,tucson,"1,719",1969,"Tucson, AZ"
Sun Marathon,sun,"1,660",2018,"Santa Clara, UT"
Utah Valley Marathon,utah-valley,"1,614",2008,"Provo, UT"
Super Marathon,super,"1,577",2011,"Snoqualmie Pass, WA"
Cascade Express Marathon,cascade-express,"1,577",2011,"Snoqualmie Pass, WA"
Pocatello Marathon,pocatello,"1,551",2000,"Pocatello, ID"
Runtastic Nebo Marathon,runtastic-nebo,"4,559",2011,"Payson, UT"
Hawaii Bird Conservation Marathon,hawaii-bird-conservation,"3,674",2017,"Hilo, HI"
Deseret News Marathon,deseret-news,"3,178",1970,"Salt Lake City, UT"
